IDInteractorA,IDInteractorB
entrez gene/locuslink:176161,entrez gene/locuslink:180485
entrez gene/locuslink:176161,entrez gene/locuslink:185757
entrez gene/locuslink:176161,entrez gene/locuslink:187639
entrez gene/locuslink:176161,entrez gene/locuslink:178732
entrez gene/locuslink:176161,entrez gene/locuslink:176637
entrez gene/locuslink:176161,entrez gene/locuslink:191159
entrez gene/locuslink:176161,entrez gene/locuslink:176348
entrez gene/locuslink:182136,entrez gene/locuslink:181800
entrez gene/locuslink:182136,entrez gene/locuslink:178904
entrez gene/locuslink:182136,entrez gene/locuslink:182136
entrez gene/locuslink:182136,entrez gene/locuslink:174652
entrez gene/locuslink:182136,entrez gene/locuslink:173944
entrez gene/locuslink:182136,entrez gene/locuslink:175879
entrez gene/locuslink:182136,entrez gene/locuslink:171949
entrez gene/locuslink:182136,entrez gene/locuslink:172489
entrez gene/locuslink:182136,entrez gene/locuslink:178926
entrez gene/locuslink:182136,entrez gene/locuslink:173840
entrez gene/locuslink:182136,entrez gene/locuslink:174955
entrez gene/locuslink:182136,entrez gene/locuslink:181340
entrez gene/locuslink:182136,entrez gene/locuslink:175207
entrez gene/locuslink:182136,entrez gene/locuslink:180616
entrez gene/locuslink:182136,entrez gene/locuslink:185709
entrez gene/locuslink:182136,entrez gene/locuslink:177865
entrez gene/locuslink:182136,entrez gene/locuslink:174059
entrez gene/locuslink:182136,entrez gene/locuslink:172799
entrez gene/locuslink:182136,entrez gene/locuslink:175107
entrez gene/locuslink:182136,entrez gene/locuslink:179627
entrez gene/locuslink:182136,entrez gene/locuslink:175455
entrez gene/locuslink:182136,entrez gene/locuslink:174597
entrez gene/locuslink:182136,entrez gene/locuslink:174337
entrez gene/locuslink:182136,entrez gene/locuslink:187751
entrez gene/locuslink:182136,entrez gene/locuslink:176071
entrez gene/locuslink:182136,entrez gene/locuslink:173404
entrez gene/locuslink:182136,entrez gene/locuslink:172805
entrez gene/locuslink:182136,entrez gene/locuslink:171977
entrez gene/locuslink:182136,entrez gene/locuslink:178122
entrez gene/locuslink:182136,entrez gene/locuslink:174746
entrez gene/locuslink:182136,entrez gene/locuslink:189167
entrez gene/locuslink:182136,entrez gene/locuslink:179709
entrez gene/locuslink:182136,entrez gene/locuslink:176499
entrez gene/locuslink:182136,entrez gene/locuslink:179428
entrez gene/locuslink:182136,entrez gene/locuslink:179429
entrez gene/locuslink:182136,entrez gene/locuslink:173858
entrez gene/locuslink:182136,entrez gene/locuslink:180264
entrez gene/locuslink:182136,entrez gene/locuslink:178289
entrez gene/locuslink:182136,entrez gene/locuslink:180221
entrez gene/locuslink:182136,entrez gene/locuslink:171853
entrez gene/locuslink:182136,entrez gene/locuslink:174464
entrez gene/locuslink:175525,entrez gene/locuslink:175525
entrez gene/locuslink:182190,entrez gene/locuslink:178072
entrez gene/locuslink:182195,entrez gene/locuslink:172687
entrez gene/locuslink:172817,entrez gene/locuslink:177342
entrez gene/locuslink:172817,entrez gene/locuslink:172817
entrez gene/locuslink:172817,entrez gene/locuslink:180497
entrez gene/locuslink:172817,entrez gene/locuslink:175840
entrez gene/locuslink:172817,entrez gene/locuslink:175844
entrez gene/locuslink:172817,entrez gene/locuslink:175946
entrez gene/locuslink:172817,entrez gene/locuslink:173558
entrez gene/locuslink:172817,entrez gene/locuslink:176295
entrez gene/locuslink:172817,entrez gene/locuslink:186725
entrez gene/locuslink:172817,entrez gene/locuslink:172589
entrez gene/locuslink:172817,entrez gene/locuslink:187528
entrez gene/locuslink:172817,entrez gene/locuslink:188067
entrez gene/locuslink:172817,entrez gene/locuslink:180534
entrez gene/locuslink:172817,entrez gene/locuslink:180264
entrez gene/locuslink:172817,entrez gene/locuslink:179051
entrez gene/locuslink:172817,entrez gene/locuslink:181324
entrez gene/locuslink:182229,entrez gene/locuslink:175638
entrez gene/locuslink:182229,entrez gene/locuslink:179345
entrez gene/locuslink:182229,entrez gene/locuslink:172372
entrez gene/locuslink:182229,entrez gene/locuslink:177203
entrez gene/locuslink:182229,entrez gene/locuslink:176660
entrez gene/locuslink:174551,entrez gene/locuslink:173728
entrez gene/locuslink:179117,entrez gene/locuslink:179117
entrez gene/locuslink:179117,entrez gene/locuslink:177706
entrez gene/locuslink:179117,entrez gene/locuslink:185407
entrez gene/locuslink:179117,entrez gene/locuslink:178363
entrez gene/locuslink:179117,entrez gene/locuslink:179045
entrez gene/locuslink:179117,entrez gene/locuslink:180302
entrez gene/locuslink:179117,entrez gene/locuslink:189381
entrez gene/locuslink:175912,entrez gene/locuslink:175526
entrez gene/locuslink:175912,entrez gene/locuslink:180521
entrez gene/locuslink:175912,entrez gene/locuslink:187516
entrez gene/locuslink:175912,entrez gene/locuslink:172948
entrez gene/locuslink:175912,entrez gene/locuslink:179049
entrez gene/locuslink:180468,entrez gene/locuslink:182792
entrez gene/locuslink:180468,entrez gene/locuslink:178230
entrez gene/locuslink:180468,entrez gene/locuslink:174475
entrez gene/locuslink:180468,entrez gene/locuslink:177629
entrez gene/locuslink:180468,entrez gene/locuslink:172915
entrez gene/locuslink:180468,entrez gene/locuslink:174994
entrez gene/locuslink:180468,entrez gene/locuslink:187528
entrez gene/locuslink:180468,entrez gene/locuslink:179981
entrez gene/locuslink:180468,entrez gene/locuslink:176830
entrez gene/locuslink:180468,entrez gene/locuslink:190399
entrez gene/locuslink:180468,entrez gene/locuslink:176656
entrez gene/locuslink:182275,entrez gene/locuslink:171792
entrez gene/locuslink:182325,entrez gene/locuslink:172061
entrez gene/locuslink:182325,entrez gene/locuslink:177552
entrez gene/locuslink:182325,entrez gene/locuslink:173846
entrez gene/locuslink:182325,entrez gene/locuslink:177873
entrez gene/locuslink:182325,entrez gene/locuslink:178997
entrez gene/locuslink:180725,entrez gene/locuslink:175827
entrez gene/locuslink:180725,entrez gene/locuslink:178997
entrez gene/locuslink:171635,entrez gene/locuslink:175462
entrez gene/locuslink:171635,entrez gene/locuslink:176793
entrez gene/locuslink:175588,entrez gene/locuslink:177937
entrez gene/locuslink:176067,entrez gene/locuslink:173822
entrez gene/locuslink:176061,entrez gene/locuslink:180343
entrez gene/locuslink:176061,entrez gene/locuslink:182018
entrez gene/locuslink:176061,entrez gene/locuslink:172274
entrez gene/locuslink:176061,entrez gene/locuslink:266854
entrez gene/locuslink:176061,entrez gene/locuslink:175677
entrez gene/locuslink:176061,entrez gene/locuslink:179495
entrez gene/locuslink:176061,entrez gene/locuslink:191813
entrez gene/locuslink:176061,entrez gene/locuslink:178901
entrez gene/locuslink:176061,entrez gene/locuslink:172773
entrez gene/locuslink:176061,entrez gene/locuslink:180986
entrez gene/locuslink:176061,entrez gene/locuslink:172653
entrez gene/locuslink:176061,entrez gene/locuslink:188957
entrez gene/locuslink:176061,entrez gene/locuslink:174836
entrez gene/locuslink:176061,entrez gene/locuslink:180479
entrez gene/locuslink:176061,entrez gene/locuslink:173033
entrez gene/locuslink:176068,entrez gene/locuslink:179822
entrez gene/locuslink:176068,entrez gene/locuslink:179549
entrez gene/locuslink:176068,entrez gene/locuslink:178738
entrez gene/locuslink:174284,entrez gene/locuslink:175638
entrez gene/locuslink:174284,entrez gene/locuslink:181348
entrez gene/locuslink:174284,entrez gene/locuslink:187005
entrez gene/locuslink:174284,entrez gene/locuslink:171842
entrez gene/locuslink:174284,entrez gene/locuslink:177462
entrez gene/locuslink:174285,entrez gene/locuslink:177239
entrez gene/locuslink:174288,entrez gene/locuslink:172408
entrez gene/locuslink:178024,entrez gene/locuslink:172251
entrez gene/locuslink:178024,entrez gene/locuslink:175638
entrez gene/locuslink:178024,entrez gene/locuslink:179971
entrez gene/locuslink:178024,entrez gene/locuslink:180521
entrez gene/locuslink:178024,entrez gene/locuslink:179537
entrez gene/locuslink:178024,entrez gene/locuslink:172394
entrez gene/locuslink:178024,entrez gene/locuslink:176348
entrez gene/locuslink:174685,entrez gene/locuslink:189616
entrez gene/locuslink:182458,entrez gene/locuslink:182611
entrez gene/locuslink:182458,entrez gene/locuslink:179629
entrez gene/locuslink:182458,entrez gene/locuslink:172807
entrez gene/locuslink:182458,entrez gene/locuslink:174712
entrez gene/locuslink:182458,entrez gene/locuslink:179596
entrez gene/locuslink:182458,entrez gene/locuslink:189733
entrez gene/locuslink:182458,entrez gene/locuslink:175726
entrez gene/locuslink:182458,entrez gene/locuslink:175852
entrez gene/locuslink:177658,entrez gene/locuslink:174487
entrez gene/locuslink:177658,entrez gene/locuslink:182601
entrez gene/locuslink:177658,entrez gene/locuslink:172251
entrez gene/locuslink:177658,entrez gene/locuslink:181050
entrez gene/locuslink:177658,entrez gene/locuslink:175975
entrez gene/locuslink:177658,entrez gene/locuslink:174926
entrez gene/locuslink:177658,entrez gene/locuslink:175604
entrez gene/locuslink:177658,entrez gene/locuslink:181574
entrez gene/locuslink:177658,entrez gene/locuslink:175546
entrez gene/locuslink:177658,entrez gene/locuslink:174768
entrez gene/locuslink:177658,entrez gene/locuslink:179612
entrez gene/locuslink:177658,entrez gene/locuslink:187465
entrez gene/locuslink:177658,entrez gene/locuslink:174161
entrez gene/locuslink:177658,entrez gene/locuslink:177436
entrez gene/locuslink:177658,entrez gene/locuslink:179751
entrez gene/locuslink:177658,entrez gene/locuslink:191538
entrez gene/locuslink:177657,entrez gene/locuslink:178259
entrez gene/locuslink:177657,entrez gene/locuslink:180413
entrez gene/locuslink:177657,entrez gene/locuslink:177848
entrez gene/locuslink:177657,entrez gene/locuslink:187337
entrez gene/locuslink:174697,entrez gene/locuslink:180575
entrez gene/locuslink:172597,entrez gene/locuslink:172597
entrez gene/locuslink:172597,entrez gene/locuslink:181400
entrez gene/locuslink:182494,entrez gene/locuslink:189736
entrez gene/locuslink:182494,entrez gene/locuslink:190148
entrez gene/locuslink:182494,entrez gene/locuslink:178455
entrez gene/locuslink:179423,entrez gene/locuslink:174504
entrez gene/locuslink:179423,entrez gene/locuslink:180681
entrez gene/locuslink:179423,entrez gene/locuslink:174430
entrez gene/locuslink:179423,entrez gene/locuslink:177706
entrez gene/locuslink:179423,entrez gene/locuslink:177710
entrez gene/locuslink:179423,entrez gene/locuslink:174960
entrez gene/locuslink:179423,entrez gene/locuslink:172691
entrez gene/locuslink:179423,entrez gene/locuslink:173953
entrez gene/locuslink:179423,entrez gene/locuslink:180324
entrez gene/locuslink:179423,entrez gene/locuslink:173277
entrez gene/locuslink:179423,entrez gene/locuslink:179183
entrez gene/locuslink:179423,entrez gene/locuslink:173989
entrez gene/locuslink:179423,entrez gene/locuslink:176263
entrez gene/locuslink:179423,entrez gene/locuslink:173288
entrez gene/locuslink:179662,entrez gene/locuslink:179853
entrez gene/locuslink:179111,entrez gene/locuslink:179111
entrez gene/locuslink:174638,entrez gene/locuslink:177356
entrez gene/locuslink:174638,entrez gene/locuslink:178232
entrez gene/locuslink:174638,entrez gene/locuslink:175764
entrez gene/locuslink:174638,entrez gene/locuslink:179274
entrez gene/locuslink:174638,entrez gene/locuslink:178316
entrez gene/locuslink:174638,entrez gene/locuslink:176588
entrez gene/locuslink:174638,entrez gene/locuslink:178102
entrez gene/locuslink:175473,entrez gene/locuslink:173846
entrez gene/locuslink:176143,entrez gene/locuslink:171829
